序号,工程名称,工程地址,工程进展,责任单位,备注
1,金沙河小区,和阳大街北侧、规划天翔路东,附属官网,南和区住房和城乡建设局,
2,金桂园和苑,宋璟大街南侧，兴业路东侧,装修,南和区住房和城乡建设局,
3,麒麟和府,建设大街北侧、人民路西侧,主体,南和区住房和城乡建设局,
4,中兴府项目,建设大街北侧商住户以北、变电站东、中兴路西,附属工程,南和区住房和城乡建设局,
5,麒麟御园项目,河郭街南侧兴业路东侧,主体/装修,南和区住房和城乡建设局,
6,永美广场项目,宋璟大街南侧、人民医院西侧,主体,南和区住房和城乡建设局,
7,西关棚户区片区改造项目,开元路南段东侧,主体,南和区住房和城乡建设局,
8,东韩棚户区片区改造项目,赵辛线以东 规划光明大街南侧,装修,南和区住房和城乡建设局,
9,东方御府,宋璟大街以南、兴和路西侧,附属工程,南和区住房和城乡建设局,
10,人民医院医疗服务中心综合楼项目,振兴路西侧、宋璟大街以南,装修,南和区住房和城乡建设局,
11, 金桂园•翰墨圣苑,兴业路以西、朱正色大街南侧,主体,南和区住房和城乡建设局,
12, 澧都尚德园,府前街北侧、、邢临路西侧,基本完工,南和区住房和城乡建设局,
13, 南和澳林城市之窗,祥和路以东、平安大街以南,主体,南和区住房和城乡建设局,
14,澧都顺和府,梅园路西侧、建设大街南侧,主体,南和区住房和城乡建设局,
15,东三官棚户区改造项目,宋璟大街南侧、兴和路西侧,主体,南和区住房和城乡建设局,
16,山水悦,平安大街北侧、祥和路东侧,主体,南和区住房和城乡建设局,
17,天牛紫金苑,开元路西侧、平安大街南侧,主体,南和区住房和城乡建设局,
18,十方院小学综合楼新建工程,邢台市南和区十方院小学院内,主体,南和区住房和城乡建设局,
19,天牛玫瑰苑,南和区和阳大街北侧、天和路以西,主体,南和区住房和城乡建设局,
20,麒麟府,平安大街北侧、开元路西侧,基础,南和区住房和城乡建设局,
21,河北好兄弟食品有限公司二期建设工程项目,宋璟大街南侧，好兄弟西侧,车间基础钢构基本完成,开发区,
22,邢台盛源新材料科技有限公司项目,南和区三思镇西宋村西,建筑主体完工，正在安装设备、硬化厂区道路。,开发区,
23,邢台郝邦生物科技有限公司项目,南和区三思镇西大村西南,建筑工程完工，厂区道路硬化完成，正在安装设备、装修办公楼。,开发区,
24,河北兆美网络科技有限公司项目,南和区三思镇西大村南,车间基础桩完成，部分钢构树立。因企业自身原因停止建设。,开发区,
25,邢台润通建筑新材料科技有限公司项目,南和区三思镇淮庄村南,基建完工，已经开始试生产。,开发区,
26,南和县长红玻璃有限公司项目,南和区三思镇淮庄村南,车间基础桩完成。因企业自身原因，建设进度停止。,开发区,
27,河北东旺新材料科技有限公司项目,南和区三思镇西大村西南,车间基础桩完成，正在树立钢结构。,开发区,
28,河北鑫盛德实业有限公司项目,南和区三思镇西大村南,车间基础桩完成，正在树立钢结构。,开发区,
29,铭霖新材料项目,文昌大街以南，阳和路以东,主体已完成，正在装侧板。,开发区,
30,鼎铭电力项目,文昌大街以南，阳和路以东，铭霖新材料以南,钢构主体已完成，准备上顶板。,开发区,
31,庞皓电缆项目,朱正色大街以南，华源轩家具以东,主体已完成，正在装侧板，准备修厂区道路,开发区,
32,富盛新材料5、6号车间,朱正色大街以南，万森宠物食品公司院内,主体已完成，正在装侧板,开发区,
33,北和彩印项目,朱正色大街以北，顺和路以西，文昌大街以南,厂房已完工，正在安装设备。,开发区,
34,智优捷项目,贾宋镇,主体已完成,开发区,
35,派得二期项目,贾宋镇,主体已完成,开发区,
36,迪派油脂项目,贾宋镇,主体已完成,开发区,
37,豆壳项目,贾宋镇,主体已完成,开发区,
38,盛泰制管,107西侧,主体已完成,开发区,
39,宠多阁,河郭镇,主体已完成,开发区,
40,邢台中科瑞达智能科技有限公司自动耙渣机器人项目,宋璟大街南侧，中诚医药西侧,消防水池施工，质检车间钢结构立柱,河郭镇,
41,邢台市丰木储能科技有限公司邢台市南和区储能调峰电站二期项目,宋璟大街南侧，中诚医药西侧,施工图纸正在审图，围墙圈建中,河郭镇,
42,润沃物流,贾宋镇东贾郭、西薛屯、吴屯,楼主体建设中,贾宋镇,
43,数字低碳能源中心,贾宋镇康屯、北里庄,主体建设中,贾宋镇,
44,沙洺河治理工程,沙洺河,铺设水泥路面,水务局,
45,南和区国家产业融合发展示范园冷库仓储项目,郝桥镇东薛屯村,土建部分已完工，正在安装设备,农业农村局,
46,泉北东延工程,贾宋镇,正在建设中,交通局,
47,杨庄桥工程,贾宋镇,正在建设中,交通局,
48,供热管网及设施-英蓉苑、海棠苑、桂花苑、嘉禾9号院,英蓉苑、海棠苑、桂花苑、嘉禾9号院,铺设管网、设备安装,住建局,
49,供热管网及设施-金桂园、中兴府、和阳府,金桂园、中兴府、和阳府,铺设管网、设备安装,住建局,
50,供热管网及设施-蜞麟和府、金沙河小区、东韩棚户区、西关棚户区,蜞麟和府、金沙河小区、东韩棚户区、西关棚户区,铺设管网、设备安装,住建局,
51,富强路段(和阳大街-建设大街)排水工程,富强路(和阳大街-建设大街),开挖沟槽、铺设管网,住建局,
52,商业大街段（天和路-兴和路）排水工程,商业大街（天和路-兴和路）,开挖沟槽、修建方沟,住建局,
53,兴和路段（和阳大街-幸福大街）排水工程,兴和路（和阳大街-幸福大街）,开挖沟槽、修建方沟,住建局,
54,建设大街段（兴业路-创业路）排水建设项目,建设大街（兴业路-创业路）,路基养护,住建局,
