行业,企业名称,统一社会信用代码,烟尘（千克）,二氧化硫（千克）,氮氧化物（千克）,年份,月份
"化工	","柏乡君和化工有限公司	","91130524766632810X	","36.929000	","222.709000	","369.041700	",2023,1
"其他具体行业	","柏乡县昌华热力有限公司	","91130524398865687N	","35.964000	","61.184000	","275.787000	",2023,1
"工业园区	","柏乡县晨光热力有限公司	","91130524MA08KUMQ80	","6.338000	","6.608000	","362.482000	",2023,1
"其他具体行业	","柏乡县宏港热力有限公司	","91130524MA08KY3A7X	","28.046000	","24.133600	","562.681200	",2023,1
"生物发电	","柏乡县热华能源科技有限公司	","91130524MA08UFDX19	","38.925000	","16.561000	","341.565000	",2023,1
"新型建材	","柏乡县拥军新型墙体砖制造有限公司	","911305243360021223	","0.000000	","0.000000	","0.000000	",2023,1
"钢铁	","德龙钢铁有限公司	","911305007575188644	","6305.279000	","10651.727000	","61512.132000	",2023,1
"新型建材	","广宗县广远建材有限公司	","911305313479883884	","0.000000	","0.000000	","0.000000	",2023,1
"橡胶	","广宗县吉达橡胶有限公司	","91130531MA07K2NB4Q	","113.462000	","0.000000	","0.000000	",2023,1
"火电	","广宗县金腾热力有限公司	","91130531058191890F	","115.330000	","446.259000	","782.316000	",2023,1
"热力生产和供应	","广宗县万热力达供热有限公司	","911305310982923628	","25.238000	","32.136000	","194.717200	",2023,1
"火电	","国家电投集团宁晋热电有限公司	","91130528078773783A	","137.886000	","767.968000	","149.357000	",2023,1
"生物发电	","国能南宫生物发电有限公司	","9113058168928142X4	","155.710000	","525.742000	","2317.391000	",2023,1
"生物发电	","国能威县生物发电有限公司	","91130533789843063T	","0.000000	","0.000000	","0.000000	",2023,1
"热力生产和供应	","河北安米诺氨基酸科技有限责任公司清河热力供应处	","91130534MA0DXJ1K09	","9.435246	","7.854831	","4.790840	",2023,1
"电力	","河北崇羌热力有限公司	","91130533570057850D	","163.574000	","1316.067000	","10443.678000	",2023,1
"玻璃	","河北德金玻璃有限公司	","91130582777729036T	","444.713000	","1591.011000	","6455.316000	",2023,1
"固体废物处理厂	","河北德谦环保科技有限公司	","91130500567357035L	","0.000000	","0.000000	","0.000000	",2023,1
"陶瓷	","河北德尚瓷业有限公司	","91130525575546258E	","3.883000	","50.861000	","156.539000	",2023,1
"玻璃	","河北东兴玻璃有限公司	","91130582782599045W	","31.100000	","45.896000	","285.523000	",2023,1
"化肥	","河北高盛化肥有限公司	","911305325576968850	","3.721000	","0.000000	","0.000000	",2023,1
"新型建材	","河北和睦建筑材料有限公司	","91130528347646329H	","0.000000	","0.000000	","0.000000	",2023,1
"化工	","河北宏光玻璃材料有限公司	","911305826690505445	","0.000000	","0.000000	","0.000000	",2023,1
"新型建材	","河北宏谦建材有限公司	","91130526347884300C	","0.000000	","0.000000	","0.000000	",2023,1
"新型建材	","河北宏旺桥耐火材料有限公司	","91130522MA07KKP49G	","0.000000	","0.000000	","0.000000	",2023,1
"其他具体行业	","河北鸿图锌业有限公司	","91130522777748528P	","48.933000	","29.439000	","297.731000	",2023,1
"其他具体行业	","河北鸿源再生资源回收有限公司	","91130535MA09MH5E8J	","1.726900	","0.855600	","13.903900	",2023,1
"橡胶	","河北互为橡胶科技有限公司	","91130529MA0D6CGM6E	","0.240000	","0.000000	","0.000000	",2023,1
"玻璃	","河北冀中新材料有限公司	","91130582MA0DN1UP2N	","17.799600	","20.044600	","299.847600	",2023,1
"化工	","河北建滔能源发展有限公司	","91130500752420462K	","72.622000	","702.168600	","644.269300	",2023,1
