企业名称,区县,行业
德龙钢铁有限公司,信都区,钢铁
河北建投沙河发电有限责任公司,沙河市,火电
建投邢台热电有限责任公司,南和区,火电
邢台国泰发电有限责任公司,信都区,火电
邢台钢铁有限责任公司,信都区,钢铁
河北德金玻璃有限公司,沙河市,玻璃
巨鹿县聚力环保有限公司,巨鹿县,生活垃圾焚烧
龙星化工股份有限公司,沙河市,化工
河北中煤旭阳能源有限公司,襄都区,焦化
玉锋实业集团有限公司,宁晋县,火电
沙河市长城玻璃有限公司,沙河市,玻璃
沙河市安全实业有限公司,沙河市,玻璃
邢台金隅咏宁水泥有限公司,沙河市,水泥
邢台金隅冀东水泥有限公司牛山分公司,临城县,水泥
沙河海创环保科技有限责任公司,沙河市,生活垃圾焚烧
奎山水泥有限公司,隆尧县,水泥
邢台金隅冀东水泥有限公司,临城县,水泥
威县深能环保有限公司,威县,生活垃圾焚烧
河北鑫利玻璃有限公司,沙河市,玻璃
沙河市双基水泥有限公司,沙河市,水泥
河北锦宝石循环资源开发集团有限公司,柏乡县,生活垃圾焚烧
河北正大玻璃有限公司,沙河市,玻璃
邢台旭阳化工有限公司,襄都区,化工
隆尧天唯热电有限公司,隆尧县,火电
邢台德贵纳米材料科技有限公司,信都区,其他具体行业
宁晋县嘉伟环保科技有限公司,宁晋县,生活垃圾焚烧
卡博特旭阳化工（邢台）有限公司,襄都区,其他具体行业
河北崇羌热力有限公司,威县,电力
邢台金丰能源科技有限公司,内丘县,化工
河北金宏阳太阳能科技股份有限公司,沙河市,玻璃
南和县长红玻璃有限公司,南和区,玻璃
邢台建德水泥有限公司,信都区,水泥
广宗县万热力达供热有限公司,广宗县,热力生产和供应
邢台中联水泥有限公司,内丘县,水泥
沙河市鸿昇玻璃有限公司,沙河市,玻璃
临西县福皓热力有限公司,临西县,电力
河北茂盛农业科技开发股份有限公司,南和区,化工
邢台市茂新化工产品有限公司,新河县,化工
中钢集团邢台机械轧辊有限公司,信都区,铸造
河北冀中新材料有限公司,沙河市,玻璃
柏乡县宏港热力有限公司,柏乡县,其他具体行业
邢台旭阳煤化工有限公司,襄都区,化工
沙河市金东玻璃有限公司,沙河市,玻璃
柏乡县热华能源科技有限公司,柏乡县,生物发电
邢台荣鑫热力有限公司,隆尧县,其他具体行业
冀中能源股份有限公司章村矿矸石热电厂,沙河市,火电
国家电投集团宁晋热电有限公司,宁晋县,火电
邢台嘉泰环保科技有限公司,南宫市,其他具体行业
广宗县金腾热力有限公司,广宗县,火电
冀中能源股份有限公司东庞矿矸石热电厂,内丘县,火电
河北康丰木业有限公司,宁晋县,化工
南宫市联森热力有限公司,南宫市,其他服务类
河北深茂新材料科技有限公司,宁晋县,化工
临城东能热力有限公司,临城县,其他具体行业
河北特正达建筑材料有限公司,宁晋县,其他具体行业
中煤科工邢台清洁能源有限公司,清河县,热力生产和供应
邢台松赫环保科技有限公司,新河县,其他具体行业
河北商耐新材料科技有限公司,临城县,其他具体行业
柏乡君和化工有限公司,柏乡县,化工
柏乡县昌华热力有限公司,柏乡县,其他具体行业
河北金沙河面业集团有限责任公司,沙河市,其他具体行业
河北宁鸣清洁能源有限公司平乡县分公司,平乡县,其他具体行业
邢台金沙河面业有限责任公司,南和区,其他具体行业
河北建滔能源发展有限公司,内丘县,化工
邢台聚隆燃气有限责任公司（隆尧热源站）,隆尧县,其他具体行业
河北锦好热力有限公司,柏乡县,其他具体行业
邢台恒源化工集团有限公司,内丘县,化工
国能南宫生物发电有限公司,南宫市,生物发电
河北中润生态环保有限公司,宁晋县,固体废物处理厂
河北泰能鸿森医疗科技有限公司,南宫市,橡胶
河北金牛旭阳化工有限公司,襄都区,化工
邢台市新锦纸业有限公司,开发区,其他具体行业
河北宏光玻璃材料有限公司,沙河市,化工
沙河市金茂压花玻璃厂高村线,沙河市,玻璃
柏乡县晨光热力有限公司,柏乡县,工业园区
河北利保恒环保科技有限公司,隆尧县,NA
广宗县吉达橡胶有限公司,广宗县,橡胶
清河县万顺热力供应有限公司,清河县,其他具体行业
中环寰慧（南宫）节能热力有限公司,南宫市,其他具体行业
沙河市正鑫玻璃有限公司,沙河市,玻璃
河北省沙河市恒高化工有限公司,沙河市,化工
河北安米诺氨基酸科技有限责任公司清河热力供应处,清河县,热力生产和供应
河北东兴玻璃有限公司,沙河市,玻璃
沙河市四环玻璃有限公司,沙河市,玻璃
河北宁纺集团有限责任公司,宁晋县,火电
沙河市东耀建材有限公司,沙河市,其他具体行业
河北德尚瓷业有限公司,隆尧县,陶瓷
邢台新翔金属材料科技股份有限公司,开发区,其他具体行业
平乡县金通新型建筑材料有限公司,平乡县,新型建材
内丘县明磊石灰厂,内丘县,石灰和石膏制造
邢台劳特斯新材料科技有限公司,南宫市,其他具体行业
邢台市福德纸业有限公司,开发区,其他具体行业
河北云筒环保科技有限公司,宁晋县,其他具体行业
邢台曙光轧辊有限公司,开发区,铸造
平乡县百盛新型建材有限公司,平乡县,新型建材
优科豪马轮胎工业(邢台)有限公司,信都区,橡胶
威县昊源橡塑制品有限公司,威县,橡胶
河北金隆水泥集团有限公司,隆尧县,水泥
河北正达生态农业科技有限公司,内丘县,化肥
临城县阳鑫供热有限公司,临城县,热力生产和供应
邢台鸿鑫泰纸业有限公司,开发区,造纸及纸制品业
威县一橡橡胶制品有限公司,威县,橡胶
河北禹工工程橡胶有限公司,广宗县,橡胶
河北丰融塑胶制品有限公司,威县,橡胶
巨鹿县德诚通热力有限公司,巨鹿县,其他服务类
河北翔九石墨股份有限公司,信都区,碳素
威县佳美橡塑制品有限公司,威县,橡胶
河北中仁化肥集团有限公司,宁晋县,其他具体行业
广宗县恒升橡胶制品厂,广宗县,橡胶
邢台中邱石灰有限责任公司,内丘县,石灰和石膏制造
平乡县仕畅橡胶制品有限公司,平乡县,橡胶
平乡县华冠橡胶制品有限公司,平乡县,橡胶
邢台市双雄橡胶制品有限公司,巨鹿县,橡胶
河北邢台冶金镁业有限公司,信都区,化工
邢台国运工贸有限公司,任泽区,橡胶
河北和佳塑料制品有限公司,广宗县,其他具体行业
优科豪马轮胎工业（河北）有限公司,信都区,橡胶
平乡县岭东新型建材有限公司,平乡县,新型建材
河北中达集团有限责任公司,内丘县,水泥
河北六合化工有限公司,宁晋县,化工
广宗县金海橡胶制品厂,广宗县,橡胶
河北亿泰橡塑制品有限公司,威县,橡胶
