分类,网站名称,来源,网址
预报,河北省空气质量预测报告（周报）,省生态环境应急与重污染天气预警中心,https://hbepb.hebei.gov.cn/hbhjt/zwgk/fdzdgknr/zdlyxxgk/daqiyujing/zwrtqyjyxy/
公布,全省空气质量排名情况通报,河北省生态环境厅,https://hbepb.hebei.gov.cn/hbhjt/zwgk/fdzdgknr/zdlyxxgk/dqhjgl/
实时数据,全国城市空气质量实时发布平台,中国环境监测总站,https://air.cnemc.cn:18007/
实时数据,河北省空气质量自动监测及发布系统,河北省生态环境厅,http://218.11.10.130:8080/#/application/home
预报,Windy,Windy,"https://www.windy.com/?39.907,116.397,5"
预报,中国每小时天气预报,The Weather Channel,https://weather.com/zh-CN/weather/hourbyhour/l/CHXX0266:1:CH
预报,空气质量预报发布系统,空气质量预报发布系统,https://air.cnemc.cn:18014/
预报,区域沙尘暴大气沙尘暴预报专业气象中心,世界气象组织,http://www.asdf-bj.net/
预报,真气网全国风场气象辐合污染地图,真气网,https://map.zq12369.com/
预报,慧聚大气,慧聚环境,https://airwise.hjhj-e.com/
预报,慧聚数据,慧聚环境,https://hz.hjhj-e.com/home
可视化,简单好用的配色工具,配色表,https://www.peisebiao.com/
可视化,POI数据库,POI数据,https://www.poi86.com/
可视化,图表用法,AntV,https://antv-2018.alipay.com/zh-cn/vis/chart/index.html
可视化,设计原则,AntV,https://antv.antgroup.com/specification/principles/basic
可视化,地图整形器,用于编辑 Shapefile、GeoJSON、TopoJSON 和 CSV 文件的工具,https://mapshaper.org/
可视化,地图选择器,阿里云数据可视化平台,https://datav.aliyun.com/portal/school/atlas/area_selector
可视化,数据可视化工具目录,数据可视化工具,https://datavizcatalogue.com/ZH/
概率论,看见概率论,阮一峰的网络日志,https://probability.visualized.fun/
航拍,南和一中航拍,南和省控点周边环境,https://www.720yun.com/vr/4f4j50yukv4
航拍,环保局航拍,南和省控点周边环境,https://www.720yun.com/vr/508j50yyOy5
地图标记,天地图,自然资源部,https://map.tianditu.gov.cn/
