name,lon,lat,type,color
建投邢台热电有限责任公司,114.623186,36.97017659,重点企业,#930077
邢台金沙河面业有限责任公司,114.646151,37.00713792,重点企业,#930077
邢台中森板材有限公司,114.6410133,37.07972874,重点企业,#930077
南和县长红玻璃有限公司,114.6460819,36.93077221,重点企业,#930077
河北茂盛农业科技开发股份有限公司,114.6980232,36.93582242,重点企业,#930077
南和县长恒建材有限公司,114.8833093,37.04746986,重点企业,#930077
河北金冠建材有限公司,114.7926055,36.91805847,重点企业,#930077
金沙河小区,114.6534276,37.00629686,建筑工地,#8785a2
天牛桂花园,114.6628851,37.0016059,建筑工地,#8785a2
天牛芙蓉苑,114.6795684,37.01333491,建筑工地,#8785a2
澧都明德园,114.7027695,37.00265549,建筑工地,#8785a2
恒润广场工程,114.6833986,37.00807892,建筑工地,#8785a2
金桂园和苑,114.6612918,37.01059773,建筑工地,#8785a2
麒麟和府,114.6626973,37.00835308,建筑工地,#8785a2
金马庄园东区,114.6764463,37.01467563,建筑工地,#8785a2
水韵华庭,114.6745688,37.02022669,建筑工地,#8785a2
天牛海棠苑,114.6626759,37.01208843,建筑工地,#8785a2
山水润城,114.6581376,37.02223971,建筑工地,#8785a2
和阳府,114.6511531,37.0246724,建筑工地,#8785a2
南和区人民医院急救,114.6957314,37.00880287,建筑工地,#8785a2
中兴府项目,114.6865046,37.00816888,建筑工地,#8785a2
悦景名都,114.6794128,37.00196147,建筑工地,#8785a2
莱茵天山熙湖,114.6732384,37.01745549,建筑工地,#8785a2
星城国际商业综合体项目,114.6660233,37.00717933,建筑工地,#8785a2
和景玉兰苑,114.6646392,37.00032495,建筑工地,#8785a2
银河御府,114.6666563,37.0153267,建筑工地,#8785a2
永美广场,114.6928132,37.01000659,建筑工地,#8785a2
和阳中学,114.6512679,37.03180556,建筑工地,#8785a2
西关棚户区片区改造项目,114.6819521,36.99702571,建筑工地,#8785a2
电商大厦,114.6872342,37.00036776,建筑工地,#8785a2
麒麟御园项目,114.659586,37.00657959,建筑工地,#8785a2
东韩棚户区,114.6842617,37.02171213,建筑工地,#8785a2
澧都尚德园,114.7051728,37.00023924,建筑工地,#8785a2
西关、县前拆迁工地,114.6837505,36.99679972,建筑工地,#8785a2
澳林城市之窗,114.6762659,37.01641132,建筑工地,#8785a2
格力中铁飞豹物流,114.6301031,37.02504928,建筑工地,#8785a2
金阳粮油,114.6458638,36.98353759,建筑工地,#8785a2
南和县联众宠物饲料有限公司,114.7236181,36.9957178,燃气企业,#bbded6
河北云鹏宠物食品有限公司,114.7181547,36.99030781,燃气企业,#bbded6
邢台德滋宠物食品有限公司,114.7156137,36.98916683,燃气企业,#bbded6
南和县永佳保温材料厂,114.6720431,37.05261191,燃气企业,#bbded6
河北怡元康乳业有限公司,114.6411949,37.07291137,燃气企业,#bbded6
河北瑞诺饲料有限公司,114.6282076,37.07722527,燃气企业,#bbded6
河北福宽生物油脂有限公司,114.6823428,37.07008387,燃气企业,#bbded6
河北莱欧宠物食品有限公司,114.705598,37.06734362,燃气企业,#bbded6
河北迪派油脂科技有限公司,114.6863392,37.06616932,燃气企业,#bbded6
