site,city
安庆市,安徽省
安阳市,河南省
蚌埠市,安徽省
包头市,内蒙古
宝鸡市,陕西省
保定市,河北省
北京,北京市
滨州市,山东省
亳州市,安徽省
沧州市,河北省
常德市,湖南省
常州市,江苏省
朝阳市,辽宁省
成都市,四川省
承德市,河北省
池州市,安徽省
滁州市,安徽省
达州市,四川省
大连市,辽宁省
大同市,山西省
德阳市,四川省
德州市,山东省
东莞市,广东省
东营市,山东省
鄂州市,湖北省
佛山市,广东省
福州市,福建省
阜阳市,安徽省
广安市,四川省
广州市,广东省
贵阳市,贵州省
哈尔滨市,黑龙江省
海口市,海南省
邯郸市,河北省
杭州市,浙江省
合肥市,安徽省
菏泽市,山东省
鹤壁市,河南省
衡水市,河北省
呼和浩特市,内蒙古
葫芦岛市,辽宁省
湖州市,浙江省
淮安市,江苏省
淮北市,安徽省
淮南市,安徽省
黄冈市,湖北省
黄山市,安徽省
黄石市,湖北省
惠州市,广东省
济南市,山东省
济宁市,山东省
嘉兴市,浙江省
江门市,广东省
焦作市,河南省
金华市,浙江省
锦州市,辽宁省
晋城市,山西省
晋中市,山西省
荆门市,湖北省
荆州市,湖北省
九江市,江西省
开封市,河南省
昆明市,云南省
拉萨市,西藏省
兰州市,甘肃省
廊坊市,河北省
乐山市,四川省
丽水市,浙江省
连云港市,江苏省
聊城市,山东省
临汾市,山西省
临沂市,山东省
六安市,安徽省
泸州市,四川省
洛阳市,河南省
漯河市,河南省
吕梁市,山西省
马鞍山市,安徽省
眉山市,四川省
绵阳市,四川省
南昌市,江西省
南充市,四川省
南京市,江苏省
南宁市,广西省
南通市,江苏省
南阳市,河南省
内江市,四川省
宁波市,浙江省
平顶山市,河南省
萍乡市,江西省
濮阳市,河南省
秦皇岛市,河北省
青岛市,山东省
衢州市,浙江省
日照市,山东省
三门峡市,河南省
厦门市,福建省
商丘市,河南省
上海,上海市
绍兴市,浙江省
深圳市,广东省
沈阳市,辽宁省
石家庄市,河北省
朔州市,山西省
苏州市,江苏省
宿迁市,江苏省
宿州市,安徽省
随州市,湖北省
遂宁市,四川省
台州市,浙江省
太原市,山西省
泰安市,山东省
泰州市,江苏省
唐山市,河北省
天津,天津市
铜川市,陕西省
铜陵市,安徽省
潍坊市,山东省
渭南市,陕西省
温州市,浙江省
乌鲁木齐市,新疆省
无锡市,江苏省
芜湖市,安徽省
武汉市,湖北省
西安市,陕西省
西宁市,青海省
咸宁市,湖北省
咸阳市,陕西省
湘潭市,湖南省
襄阳市,湖北省
孝感市,湖北省
忻州市,山西省
新乡市,河南省
新余市,江西省
信阳市,河南省
邢台市,河北省
徐州市,江苏省
许昌市,河南省
宣城市,安徽省
雅安市,四川省
盐城市,江苏省
扬州市,江苏省
阳泉市,山西省
宜宾市,四川省
宜昌市,湖北省
宜春市,江西省
益阳市,湖南省
银川市,宁夏省
岳阳市,湖南省
运城市,山西省
枣庄市,山东省
张家口市,河北省
长春市,吉林省
长沙市,湖南省
长治市,山西省
肇庆市,广东省
镇江市,江苏省
郑州市,河南省
中山市,广东省
重庆市,重庆市
舟山市,浙江省
周口市,河南省
珠海市,广东省
株洲市,湖南省
驻马店市,河南省
资阳市,四川省
淄博市,山东省
自贡市,四川省
