site,city,adcode
安国市,保定市,130683
博野县,保定市,130637
定兴县,保定市,130626
阜平县,保定市,130624
高碑店市,保定市,130684
高阳县,保定市,130628
竞秀区,保定市,130602
涞水县,保定市,130623
涞源县,保定市,130630
蠡县,保定市,130635
莲池区,保定市,130606
满城区,保定市,130607
清苑区,保定市,130608
曲阳县,保定市,130634
顺平县,保定市,130636
唐县(保定),保定市,130627
望都县,保定市,130631
徐水区,保定市,130609
易县,保定市,130633
涿州市,保定市,130681
沧县,沧州市,130921
东光县,沧州市,130923
海兴县,沧州市,130924
河间市,沧州市,130984
黄骅市,沧州市,130983
孟村回族自治县,沧州市,130930
南皮县,沧州市,130927
泊头市,沧州市,130981
青县,沧州市,130922
任丘市,沧州市,130982
肃宁县,沧州市,130926
吴桥县,沧州市,130928
献县,沧州市,130929
新华区(沧州),沧州市,130902
盐山县,沧州市,130925
运河区,沧州市,130903
承德县,承德市,130821
丰宁满族自治县,承德市,130826
宽城满族自治县,承德市,130827
隆化县,承德市,130825
滦平县,承德市,130824
平泉市,承德市,130881
双滦区,承德市,130803
双桥区,承德市,130802
围场满族蒙古族自治县,承德市,130828
兴隆县,承德市,130822
鹰手营子矿区,承德市,130804
成安县,邯郸市,130424
磁县,邯郸市,130427
丛台区,邯郸市,130403
大名县,邯郸市,130425
肥乡区,邯郸市,130407
峰峰矿区,邯郸市,130406
复兴区,邯郸市,130404
馆陶县,邯郸市,130433
广平县,邯郸市,130432
邯山区,邯郸市,130402
鸡泽县,邯郸市,130431
临漳县,邯郸市,130423
邱县,邯郸市,130430
曲周县,邯郸市,130435
涉县,邯郸市,130426
魏县,邯郸市,130434
武安市,邯郸市,130481
永年区,邯郸市,130408
定州市,保定市,130682
辛集市,保定市,130181
安平县,衡水市,131125
阜城县,衡水市,131128
故城县,衡水市,131126
冀州区,衡水市,131103
景县,衡水市,131127
饶阳县,衡水市,131124
深州市,衡水市,131182
桃城区,衡水市,131102
武强县,衡水市,131123
武邑县,衡水市,131122
枣强县,衡水市,131121
安次区,廊坊市,131002
霸州市,廊坊市,131081
大厂回族自治县,廊坊市,131028
大城县,廊坊市,131025
固安县,廊坊市,131022
广阳区,廊坊市,131003
三河市,廊坊市,131082
文安县,廊坊市,131026
香河县,廊坊市,131024
永清县,廊坊市,131023
北戴河区,秦皇岛市,130304
昌黎县,秦皇岛市,130322
抚宁区,秦皇岛市,130306
海港区,秦皇岛市,130302
卢龙县,秦皇岛市,130324
青龙满族自治县,秦皇岛市,130321
山海关区,秦皇岛市,130303
高邑县,石家庄市,130127
藁城区,石家庄市,130109
行唐县,石家庄市,130125
晋州市,石家庄市,130183
井陉矿区,石家庄市,130107
井陉县,石家庄市,130121
灵寿县,石家庄市,130126
鹿泉区,石家庄市,130110
栾城区,石家庄市,130111
平山县,石家庄市,130131
桥西区(石家庄),石家庄市,130104
深泽县,石家庄市,130128
无极县,石家庄市,130130
新华区(石家庄),石家庄市,130105
新乐市,石家庄市,130184
裕华区,石家庄市,130108
元氏县,石家庄市,130132
赞皇县,石家庄市,130129
长安区,石家庄市,130102
赵县,石家庄市,130133
正定县,石家庄市,130123
曹妃甸区,唐山市,130209
丰南区,唐山市,130207
丰润区,唐山市,130208
古冶区,唐山市,130204
开平区,唐山市,130205
乐亭县,唐山市,130225
路北区,唐山市,130203
路南区,唐山市,130202
滦南县,唐山市,130224
滦州市,唐山市,130284
迁安市,唐山市,130283
迁西县,唐山市,130227
玉田县,唐山市,130229
遵化市,唐山市,130281
柏乡县,邢台市,130524
广宗县,邢台市,130531
巨鹿县,邢台市,130529
临城县,邢台市,130522
临西县,邢台市,130535
隆尧县,邢台市,130525
南宫市,邢台市,130581
南和区,邢台市,130506
内丘县,邢台市,130523
宁晋县,邢台市,130528
平乡县,邢台市,130532
清河县,邢台市,130534
任泽区,邢台市,130505
沙河市,邢台市,130582
威县,邢台市,130533
襄都区,邢台市,130502
新河县,邢台市,130530
信都区,邢台市,130503
安新县,保定市,130632
容城县,保定市,130629
雄县,保定市,130638
赤城县,张家口市,130732
崇礼区,张家口市,130709
沽源县,张家口市,130724
怀安县,张家口市,130728
怀来县,张家口市,130730
康保县,张家口市,130723
桥东区,张家口市,130702
桥西区(张家口),张家口市,130703
尚义县,张家口市,130725
万全区,张家口市,130708
蔚县,张家口市,130726
下花园区,张家口市,130706
宣化区,张家口市,130705
阳原县,张家口市,130727
张北县,张家口市,130722
涿鹿县,张家口市,130731
